X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Musculoskeletal problems, legs: mild; Hearing loss: complete";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Hearing loss: moderate; Anxiety disorders: moderate";"Musculoskeletal problems, legs: mild; Multiple sclerosis: severe";"Anemia: moderate; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; Stroke: long-term consequences, moderate";"Major depressive disorder: moderate episode; Dementia: moderate";"Dementia: mild; Spinal cord lesion at neck level: treated";"Diabetic neuropathy; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Distance vision: severe impairment; Stroke: long-term consequences, moderate";"Asthma: controlled; Asthma: partially controlled"
"Dementia: moderate; Acute myocardial infarction: days 3-28";"Major depressive disorder: moderate episode; Asthma: partially controlled";"Parkinson's disease: moderate; Decompensated cirrhosis of the liver";"Spinal cord lesion at neck level: treated; Hearing loss: moderate";"Dementia: moderate; Distance vision: moderate impairment";"Stroke: long-term consequences, moderate; Asthma: controlled";"Stroke: long-term consequences, moderate; Hearing loss: moderate";"Stroke: long-term consequences, severe plus cognition problems; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, moderate; Anemia: moderate";"Major depressive disorder: moderate episode; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: severe; Major depressive disorder: moderate episode";"COPD and other chronic respiratory disease: severe; Asthma: partially controlled";"Anxiety disorders: severe; Acute myocardial infarction: days 3-28";"Asthma: partially controlled; Major depressive disorder: moderate episode";"Acute myocardial infarction: days 3-28; Anxiety disorders: moderate"
"Acute myocardial infarction: days 3-28; Asthma: partially controlled";"Distance vision: severe impairment; Distance vision: moderate impairment";"Anxiety disorders: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Anxiety disorders: severe; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Asthma: controlled";"Spinal cord lesion at neck level: treated; Anxiety disorders: moderate";"Stroke: long-term consequences, moderate; Diabetic neuropathy";"Motor impairment: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Major depressive disorder: moderate episode; Asthma: partially controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Hearing loss: moderate";"Multiple sclerosis: severe; Major depressive disorder: moderate episode";"Acute myocardial infarction: days 3-28; Distance vision: moderate impairment";"Multiple sclerosis: severe; Asthma: partially controlled";"Distance vision: moderate impairment; Distance vision: severe impairment";"COPD and other chronic respiratory disease: severe; Anemia: moderate"
"Parkinson's disease: moderate; COPD and other chronic respiratory disease: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Decompensated cirrhosis of the liver";"Asthma: partially controlled; Parkinson's disease: moderate";"Anxiety disorders: moderate; Acute myocardial infarction: days 3-28";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Diabetic neuropathy; Dementia: moderate";"Anxiety disorders: moderate; Cancer: diagnosis and primary therapy";"Asthma: partially controlled; Distance vision: moderate impairment";"Major depressive disorder: moderate episode; Dementia: moderate";"Hearing loss: moderate; Acute myocardial infarction: days 3-28";"Asthma: partially controlled; COPD and other chronic respiratory disease: mild";"Distance vision: moderate impairment; Decompensated cirrhosis of the liver";"Major depressive disorder: moderate episode; Spinal cord lesion at neck level: treated";"Decompensated cirrhosis of the liver; Amputation of finger(s), excluding thumb: long term, with treatment";"Cancer: diagnosis and primary therapy; Anxiety disorders: severe"
"Asthma: partially controlled; Anemia: moderate";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Anemia: moderate; Acute myocardial infarction: days 3-28";"Musculoskeletal problems, legs: mild; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Multiple sclerosis: severe";"Distance vision: moderate impairment; Anxiety disorders: moderate";"Musculoskeletal problems, legs: mild; Multiple sclerosis: severe";"Asthma: partially controlled; Dementia: mild";"Distance vision: moderate impairment; Stroke: long-term consequences, moderate";"Parkinson's disease: moderate; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Diabetic neuropathy";"Hearing loss: moderate; COPD and other chronic respiratory disease: severe";"Parkinson's disease: moderate; Cancer: diagnosis and primary therapy";"Hearing loss: complete; Anxiety disorders: moderate"
"Diabetic neuropathy; COPD and other chronic respiratory disease: mild";"Major depressive disorder: moderate episode; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Hearing loss: moderate";"Cancer: diagnosis and primary therapy; COPD and other chronic respiratory disease: mild";"COPD and other chronic respiratory disease: severe; Parkinson's disease: moderate";"Dementia: mild; Hearing loss: complete";"Acute myocardial infarction: days 3-28; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Diabetic neuropathy";"COPD and other chronic respiratory disease: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Multiple sclerosis: severe; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Distance vision: moderate impairment";"Distance vision: severe impairment; Anemia: moderate";"Distance vision: moderate impairment; Asthma: partially controlled";"Angina pectoris: moderate; Major depressive disorder: moderate episode";"Distance vision: severe impairment; Amputation of finger(s), excluding thumb: long term, with treatment"
"Parkinson's disease: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: moderate; Angina pectoris: moderate";"COPD and other chronic respiratory disease: mild; Asthma: controlled";"COPD and other chronic respiratory disease: severe; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Hearing loss: moderate";"Motor impairment: moderate; Anemia: moderate";"Distance vision: severe impairment; Stroke: long-term consequences, moderate";"Motor impairment: moderate; Hearing loss: moderate";"Parkinson's disease: moderate; Cancer: diagnosis and primary therapy";"Multiple sclerosis: severe; Decompensated cirrhosis of the liver";"Parkinson's disease: moderate; Asthma: controlled";"Stroke: long-term consequences, severe plus cognition problems; Angina pectoris: moderate";"Dementia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Angina pectoris: moderate; Dementia: moderate";"Anxiety disorders: severe; Amputation of finger(s), excluding thumb: long term, with treatment"
"Major depressive disorder: moderate episode; Diabetic neuropathy";"Motor impairment: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Cancer: diagnosis and primary therapy; Hearing loss: complete";"Multiple sclerosis: severe; Asthma: controlled";"Major depressive disorder: moderate episode; Musculoskeletal problems, legs: mild";"Multiple sclerosis: severe; COPD and other chronic respiratory disease: mild";"Decompensated cirrhosis of the liver; Asthma: partially controlled";"Major depressive disorder: moderate episode; Acute myocardial infarction: days 3-28";"Anxiety disorders: severe; Diabetic neuropathy";"Cancer: diagnosis and primary therapy; COPD and other chronic respiratory disease: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Dementia: mild";"Distance vision: severe impairment; Decompensated cirrhosis of the liver";"Anemia: moderate; Angina pectoris: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Motor impairment: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy"
"Motor impairment: moderate; Anxiety disorders: severe";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Musculoskeletal problems, legs: mild; Anemia: moderate";"Acute myocardial infarction: days 3-28; Major depressive disorder: moderate episode";"Anxiety disorders: moderate; Distance vision: severe impairment";"Angina pectoris: moderate; Stroke: long-term consequences, severe plus cognition problems";"Asthma: controlled; Musculoskeletal problems, legs: mild";"Hearing loss: complete; Spinal cord lesion at neck level: treated";"Acute myocardial infarction: days 3-28; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; Parkinson's disease: moderate";"COPD and other chronic respiratory disease: mild; Spinal cord lesion at neck level: treated";"Hearing loss: complete; Acute myocardial infarction: days 3-28";"Major depressive disorder: moderate episode; Spinal cord lesion at neck level: treated";"Amputation of finger(s), excluding thumb: long term, with treatment; Asthma: partially controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Cancer: diagnosis and primary therapy"
"Hearing loss: moderate; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Hearing loss: complete";"Stroke: long-term consequences, moderate; Multiple sclerosis: severe";"COPD and other chronic respiratory disease: severe; Dementia: moderate";"Dementia: mild; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Musculoskeletal problems, legs: mild";"Hearing loss: complete; Dementia: mild";"Acute myocardial infarction: days 3-28; Cancer: diagnosis and primary therapy";"Anxiety disorders: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: complete; Decompensated cirrhosis of the liver";"Dementia: mild; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; Angina pectoris: moderate";"Stroke: long-term consequences, moderate; Spinal cord lesion at neck level: treated";"Hearing loss: complete; Angina pectoris: moderate";"Hearing loss: complete; Parkinson's disease: moderate"
"Hearing loss: complete; COPD and other chronic respiratory disease: mild";"Anxiety disorders: moderate; Asthma: controlled";"Distance vision: moderate impairment; Asthma: partially controlled";"Acute myocardial infarction: days 3-28; Distance vision: moderate impairment";"COPD and other chronic respiratory disease: mild; Asthma: partially controlled";"Anemia: moderate; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Amputation of finger(s), excluding thumb: long term, with treatment";"Anxiety disorders: severe; Acute myocardial infarction: days 3-28";"Decompensated cirrhosis of the liver; COPD and other chronic respiratory disease: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; COPD and other chronic respiratory disease: mild";"COPD and other chronic respiratory disease: severe; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: severe; Motor impairment: moderate";"Asthma: controlled; Anxiety disorders: moderate";"Stroke: long-term consequences, moderate; Dementia: mild"
"COPD and other chronic respiratory disease: severe; Decompensated cirrhosis of the liver";"Diabetic neuropathy; Asthma: controlled";"Musculoskeletal problems, legs: mild; Asthma: partially controlled";"Major depressive disorder: moderate episode; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: severe; Hearing loss: complete";"Multiple sclerosis: severe; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Distance vision: moderate impairment";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: moderate";"Stroke: long-term consequences, severe plus cognition problems; COPD and other chronic respiratory disease: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: mild";"Major depressive disorder: moderate episode; Hearing loss: complete";"Distance vision: severe impairment; Motor impairment: moderate";"Spinal cord lesion at neck level: treated; Dementia: moderate";"Asthma: controlled; Diabetic neuropathy";"Cancer: diagnosis and primary therapy; Asthma: controlled"
"Parkinson's disease: moderate; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; Asthma: partially controlled";"Stroke: long-term consequences, moderate; Dementia: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Musculoskeletal problems, legs: mild";"Stroke: long-term consequences, severe plus cognition problems; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; Motor impairment: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: partially controlled";"COPD and other chronic respiratory disease: severe; Asthma: controlled";"Motor impairment: moderate; Hearing loss: complete";"Distance vision: severe impairment; Stroke: long-term consequences, moderate";"Anxiety disorders: severe; Parkinson's disease: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: complete";"Anxiety disorders: moderate; Dementia: mild";"Asthma: partially controlled; Anxiety disorders: severe";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild"
"Dementia: moderate; Distance vision: moderate impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: controlled";"Dementia: moderate; Parkinson's disease: moderate";"Stroke: long-term consequences, severe plus cognition problems; Motor impairment: moderate";"Cancer: diagnosis and primary therapy; Angina pectoris: moderate";"Decompensated cirrhosis of the liver; Acute myocardial infarction: days 3-28";"Acute myocardial infarction: days 3-28; Anemia: moderate";"Decompensated cirrhosis of the liver; Asthma: controlled";"Spinal cord lesion at neck level: treated; Dementia: moderate";"Stroke: long-term consequences, severe plus cognition problems; Dementia: moderate";"Decompensated cirrhosis of the liver; Dementia: mild";"Stroke: long-term consequences, severe plus cognition problems; Major depressive disorder: moderate episode";"Spinal cord lesion at neck level: treated; Stroke: long-term consequences, severe plus cognition problems";"Asthma: controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: severe; Dementia: mild"
"Anxiety disorders: severe; Decompensated cirrhosis of the liver";"Multiple sclerosis: severe; Angina pectoris: moderate";"COPD and other chronic respiratory disease: severe; Distance vision: moderate impairment";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: mild";"Acute myocardial infarction: days 3-28; Anxiety disorders: moderate";"Dementia: moderate; Hearing loss: complete";"Stroke: long-term consequences, moderate; Acute myocardial infarction: days 3-28";"Decompensated cirrhosis of the liver; Major depressive disorder: moderate episode";"Anemia: moderate; Hearing loss: moderate";"Stroke: long-term consequences, severe plus cognition problems; Parkinson's disease: moderate";"Parkinson's disease: moderate; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; Anxiety disorders: moderate";"Dementia: mild; Diabetic neuropathy";"Angina pectoris: moderate; Multiple sclerosis: severe";"Dementia: mild; COPD and other chronic respiratory disease: mild"
"Parkinson's disease: moderate; Angina pectoris: moderate";"Decompensated cirrhosis of the liver; Hearing loss: complete";"Motor impairment: moderate; Asthma: controlled";"Major depressive disorder: moderate episode; Angina pectoris: moderate";"Multiple sclerosis: severe; Anxiety disorders: moderate";"Multiple sclerosis: severe; Diabetic neuropathy";"Multiple sclerosis: severe; Motor impairment: moderate";"Anxiety disorders: severe; Motor impairment: moderate";"Cancer: diagnosis and primary therapy; Asthma: controlled";"Cancer: diagnosis and primary therapy; Diabetic neuropathy";"Cancer: diagnosis and primary therapy; Acute myocardial infarction: days 3-28";"Major depressive disorder: moderate episode; Asthma: partially controlled";"Anxiety disorders: moderate; Hearing loss: moderate";"Hearing loss: complete; Decompensated cirrhosis of the liver";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Musculoskeletal problems, legs: mild"
"Diabetic neuropathy; Acute myocardial infarction: days 3-28";"Anemia: moderate; Stroke: long-term consequences, moderate";"Distance vision: moderate impairment; Musculoskeletal problems, legs: mild";"Dementia: mild; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: severe; Dementia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Motor impairment: moderate";"Anemia: moderate; Stroke: long-term consequences, severe plus cognition problems";"Acute myocardial infarction: days 3-28; Anxiety disorders: severe";"Cancer: diagnosis and primary therapy; Dementia: moderate";"Dementia: mild; Decompensated cirrhosis of the liver";"Hearing loss: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: moderate; Dementia: moderate";"Angina pectoris: moderate; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, moderate; Anemia: moderate";"Distance vision: moderate impairment; Major depressive disorder: moderate episode"
"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Parkinson's disease: moderate";"Dementia: mild; Anxiety disorders: moderate";"Hearing loss: moderate; Multiple sclerosis: severe";"Hearing loss: complete; Anxiety disorders: moderate";"Asthma: controlled; Anxiety disorders: severe";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: severe";"Distance vision: moderate impairment; Distance vision: severe impairment";"Distance vision: severe impairment; Anxiety disorders: severe";"Distance vision: moderate impairment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; Major depressive disorder: moderate episode";"Asthma: controlled; Acute myocardial infarction: days 3-28";"Musculoskeletal problems, legs: mild; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Anemia: moderate";"Anxiety disorders: moderate; Dementia: mild";"Stroke: long-term consequences, moderate; Spinal cord lesion at neck level: treated"
"Hearing loss: complete; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, moderate; Anxiety disorders: severe";"Hearing loss: moderate; Anemia: moderate";"Dementia: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: severe";"Asthma: controlled; Parkinson's disease: moderate";"Musculoskeletal problems, legs: mild; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: mild; COPD and other chronic respiratory disease: severe";"Hearing loss: complete; Motor impairment: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: severe";"Dementia: mild; Anemia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Parkinson's disease: moderate";"Diabetic neuropathy; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; Stroke: long-term consequences, moderate";"Anxiety disorders: moderate; Acute myocardial infarction: days 3-28"
"Asthma: controlled; Angina pectoris: moderate";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Amputation of finger(s), excluding thumb: long term, with treatment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Hearing loss: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Cancer: diagnosis and primary therapy";"Anxiety disorders: moderate; Parkinson's disease: moderate";"Hearing loss: complete; Distance vision: severe impairment";"Cancer: diagnosis and primary therapy; Spinal cord lesion at neck level: treated";"Asthma: controlled; Anxiety disorders: severe";"Anxiety disorders: moderate; Decompensated cirrhosis of the liver";"Asthma: controlled; Hearing loss: complete";"Diabetic neuropathy; Major depressive disorder: moderate episode";"Angina pectoris: moderate; COPD and other chronic respiratory disease: severe";"Spinal cord lesion at neck level: treated; Stroke: long-term consequences, severe plus cognition problems";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Multiple sclerosis: severe"
"Musculoskeletal problems, legs: mild; Distance vision: severe impairment";"COPD and other chronic respiratory disease: mild; Diabetic neuropathy";"Hearing loss: moderate; Dementia: moderate";"Acute myocardial infarction: days 3-28; Distance vision: severe impairment";"Anxiety disorders: moderate; COPD and other chronic respiratory disease: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Stroke: long-term consequences, moderate";"Diabetic neuropathy; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, moderate; Major depressive disorder: moderate episode";"Hearing loss: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Major depressive disorder: moderate episode";"Distance vision: moderate impairment; Major depressive disorder: moderate episode";"Distance vision: moderate impairment; Stroke: long-term consequences, severe plus cognition problems";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild";"Diabetic neuropathy; Parkinson's disease: moderate"
"Anxiety disorders: moderate; Acute myocardial infarction: days 3-28";"Asthma: controlled; Anxiety disorders: severe";"Distance vision: severe impairment; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: mild; Dementia: moderate";"Hearing loss: complete; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Acute myocardial infarction: days 3-28; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Motor impairment: moderate";"COPD and other chronic respiratory disease: mild; Motor impairment: moderate";"Asthma: partially controlled; Diabetic neuropathy";"Anemia: moderate; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Stroke: long-term consequences, severe plus cognition problems";"Asthma: controlled; Musculoskeletal problems, legs: mild";"Anxiety disorders: severe; Asthma: controlled";"Anemia: moderate; Acute myocardial infarction: days 3-28"
"Acute myocardial infarction: days 3-28; Anemia: moderate";"Parkinson's disease: moderate; Asthma: controlled";"Dementia: moderate; Asthma: partially controlled";"Angina pectoris: moderate; Asthma: controlled";"COPD and other chronic respiratory disease: severe; Distance vision: severe impairment";"Parkinson's disease: moderate; Acute myocardial infarction: days 3-28";"Distance vision: severe impairment; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Anxiety disorders: moderate";"Angina pectoris: moderate; Asthma: partially controlled";"Anemia: moderate; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Dementia: mild";"Anxiety disorders: severe; Anxiety disorders: moderate";"Multiple sclerosis: severe; Asthma: partially controlled";"Asthma: controlled; Parkinson's disease: moderate";"Multiple sclerosis: severe; Major depressive disorder: moderate episode"
"Acute myocardial infarction: days 3-28; Distance vision: severe impairment";"Anemia: moderate; Major depressive disorder: moderate episode";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Cancer: diagnosis and primary therapy";"Asthma: partially controlled; Diabetic neuropathy";"Angina pectoris: moderate; Cancer: diagnosis and primary therapy";"Diabetic neuropathy; Multiple sclerosis: severe";"Motor impairment: moderate; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; Distance vision: severe impairment";"Major depressive disorder: moderate episode; COPD and other chronic respiratory disease: severe";"Decompensated cirrhosis of the liver; Multiple sclerosis: severe";"Asthma: partially controlled; Distance vision: moderate impairment";"Anemia: moderate; Parkinson's disease: moderate";"Major depressive disorder: moderate episode; Anemia: moderate";"Distance vision: severe impairment; Parkinson's disease: moderate"
"Anemia: moderate; Motor impairment: moderate";"Hearing loss: moderate; Acute myocardial infarction: days 3-28";"Distance vision: moderate impairment; Cancer: diagnosis and primary therapy";"Amputation of finger(s), excluding thumb: long term, with treatment; Motor impairment: moderate";"Stroke: long-term consequences, moderate; Decompensated cirrhosis of the liver";"Asthma: controlled; Diabetic neuropathy";"COPD and other chronic respiratory disease: mild; Motor impairment: moderate";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Asthma: controlled; Motor impairment: moderate";"Hearing loss: complete; Anemia: moderate";"Diabetic neuropathy; Dementia: mild";"Cancer: diagnosis and primary therapy; Dementia: moderate";"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, severe plus cognition problems";"Acute myocardial infarction: days 3-28; Hearing loss: moderate";"Anxiety disorders: severe; Multiple sclerosis: severe"
"COPD and other chronic respiratory disease: mild; Angina pectoris: moderate";"Anemia: moderate; Decompensated cirrhosis of the liver";"Anemia: moderate; Anxiety disorders: severe";"Diabetic neuropathy; Anxiety disorders: moderate";"Major depressive disorder: moderate episode; Distance vision: severe impairment";"Musculoskeletal problems, legs: mild; Dementia: mild";"Anemia: moderate; Cancer: diagnosis and primary therapy";"Dementia: mild; Multiple sclerosis: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Stroke: long-term consequences, severe plus cognition problems";"Musculoskeletal problems, legs: mild; Major depressive disorder: moderate episode";"COPD and other chronic respiratory disease: mild; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Anxiety disorders: severe";"Decompensated cirrhosis of the liver; Anemia: moderate";"Hearing loss: complete; Cancer: diagnosis and primary therapy"
"Amputation of finger(s), excluding thumb: long term, with treatment; Decompensated cirrhosis of the liver";"Decompensated cirrhosis of the liver; Stroke: long-term consequences, severe plus cognition problems";"Musculoskeletal problems, legs: mild; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; Major depressive disorder: moderate episode";"Dementia: moderate; Multiple sclerosis: severe";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Angina pectoris: moderate; Distance vision: severe impairment";"Anemia: moderate; Anxiety disorders: severe";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Parkinson's disease: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Distance vision: severe impairment";"Musculoskeletal problems, legs: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Angina pectoris: moderate; Spinal cord lesion at neck level: treated";"Stroke: long-term consequences, severe plus cognition problems; Decompensated cirrhosis of the liver";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment"
"Asthma: partially controlled; Angina pectoris: moderate";"Anxiety disorders: moderate; Dementia: moderate";"Dementia: mild; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: complete; Parkinson's disease: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Parkinson's disease: moderate";"Cancer: diagnosis and primary therapy; Major depressive disorder: moderate episode";"Hearing loss: moderate; Parkinson's disease: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, severe plus cognition problems";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: severe";"Major depressive disorder: moderate episode; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: partially controlled; Motor impairment: moderate";"Dementia: moderate; Anxiety disorders: moderate";"COPD and other chronic respiratory disease: severe; Spinal cord lesion at neck level: treated"
"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Angina pectoris: moderate";"Anxiety disorders: moderate; Anemia: moderate";"Cancer: diagnosis and primary therapy; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Dementia: moderate";"Cancer: diagnosis and primary therapy; Amputation of finger(s), excluding thumb: long term, with treatment";"Stroke: long-term consequences, severe plus cognition problems; Angina pectoris: moderate";"Decompensated cirrhosis of the liver; Distance vision: moderate impairment";"Major depressive disorder: moderate episode; Anxiety disorders: moderate";"Stroke: long-term consequences, severe plus cognition problems; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Asthma: controlled";"Anxiety disorders: moderate; Diabetic neuropathy";"Distance vision: severe impairment; Decompensated cirrhosis of the liver";"Motor impairment: moderate; Anemia: moderate";"Anemia: moderate; Anxiety disorders: moderate";"Anxiety disorders: severe; Dementia: mild"
"Anemia: moderate; Diabetic neuropathy";"Decompensated cirrhosis of the liver; Asthma: partially controlled";"Major depressive disorder: moderate episode; Asthma: partially controlled";"Stroke: long-term consequences, moderate; Angina pectoris: moderate";"Stroke: long-term consequences, severe plus cognition problems; Dementia: moderate";"Decompensated cirrhosis of the liver; Dementia: mild";"Multiple sclerosis: severe; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: severe; Hearing loss: moderate";"Major depressive disorder: moderate episode; Hearing loss: moderate";"COPD and other chronic respiratory disease: severe; Hearing loss: complete";"Motor impairment: moderate; COPD and other chronic respiratory disease: mild";"Major depressive disorder: moderate episode; Acute myocardial infarction: days 3-28";"Angina pectoris: moderate; Distance vision: moderate impairment";"Asthma: partially controlled; Decompensated cirrhosis of the liver";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Acute myocardial infarction: days 3-28"
